,text,directed_at,emotion
73,"['holla', 'rt', 'google', 'party', 'best', 'ever', 'get', 'butt']",Google,Positive emotion
74,"['love', 'iphone', 'case', 'cant', 'get', 'phone']",iPhone,Positive emotion
75,"['worship', 'link']",,No emotion toward brand or product
76,"['ipad2', 'rt', 'droid', 'amp', 'mac', 'rt', 'confession', 'using', 'laptop', 'ipad', 'amp', 'blackberry', 'follow']",,No emotion toward brand or product
77,"['launching', 'rt', 'denies', 'social', 'network', 'called', 'circles', 'debut', 'today', 'despite', 'report', 'link']",,No emotion toward brand or product
78,"['new', 'post', 'iphone', 'app', 'makes', 'easy', 'connect', 'social', 'networks', 'people', 'meet', 'link']",iPad or iPhone App,Positive emotion
79,"['nice', 'iphone', 'app', 'behaving', 'today', 'crashes', 'yesterday', 'ridiculous']",iPad or iPhone App,Positive emotion
80,"['nice', 'rt', 'apple', 'opening', 'popup', 'store', 'ipad', 'launch', 'downtown', 'austin', 'link', 'via']",,No emotion toward brand or product
81,"['nice', 'rt', 'hey', 'apple', 'fans', 'get', 'peek', 'space', 'thats', 'slated', 'popup', 'apple', 'store', 'tomorrow', 'link']",Apple,Positive emotion
82,"['one', 'thing', 'great', 'get', 'great', 'earth', 'face', 'google', 'company', 'love']",Google,Positive emotion
83,"['stay', 'tune', 'showcase', 'link']",,No emotion toward brand or product
84,"['thank', 'preso', 'heres', 'deck', 'link']",,No emotion toward brand or product
85,"['thank', 'awesome', 'party', 'link']",,No emotion toward brand or product
86,"['thanks', 'rt', 'youre', 'trying', 'contact', 'friends', 'family', 'created', 'person', 'finder', 'link']",,No emotion toward brand or product
87,"['thanks', 'mention', 'new', 'ipad', 'apps', 'showcased', 'conf', 'link']",iPad or iPhone App,Positive emotion
89,"['thanks', 'publishing', 'news', 'new', 'medical', 'apps', 'conf', 'blog', 'link']",,No emotion toward brand or product
90,"['provide', 'iphone', 'chargers', 'ive', 'changed', 'mind', 'going', 'next', 'year']",iPhone,Negative emotion
91,"['wonder', 'amp', 'apple', 'flashmob', 'tcrnchfcs45j']",,No emotion toward brand or product
92,"['wonder', 'putting', 'tips', 'api']",,No emotion toward brand or product
93,"['xmas', 'rt', 'shiny', 'new', 'apps', 'new', 'book', 'popup', 'ipad', '2', 'stores', 'christmas', 'nerds']",iPad,Positive emotion
94,"['yai', 'rt', 'new', 'app', 'store', 'includes', 'uberguide', 'sponsored', 'cont', 'link']",iPhone,Positive emotion
95,"['yes', 'rt', 'hey', 'ive', 'got', 'another', 'gem', 'gt', 'free', 'sxsw', 'link']",,No emotion toward brand or product
96,"['fast', 'fun', 'amp', 'future', 'google', 'presenting', 'search', 'local', 'mobile']",Google,Positive emotion
97,"['gsdampm', 'amp', 'googles', 'industry', 'party', 'tonight', 'see', 'u', 'link']",,No emotion toward brand or product
98,"['new', 'buzz', 'quot', 'google', 'launch', 'major', 'new', 'social', 'network', 'called', 'circles', 'possibly', 'today', 'link', 'rt']",,No emotion toward brand or product
99,"['headline', 'quot', '2', 'musthave', 'gadget', 'hmm', 'could', 'seen', 'one', 'coming', 'link']",iPad,Positive emotion
101,"['know', 'quotdatavizquot', 'translates', 'quotsatanicquot', 'iphone', 'im', 'sayin']",,Negative emotion
102,"['quotgoogle', 'launched', 'checkins', 'month', 'agoquot', 'check', 'ins', 'ok', 'check', 'outs', 'future']",Google,Positive emotion
103,"['quotgoogle', 'launched', 'checkins', 'month', 'agoquot', 'check', 'ins', 'ok', 'check', 'outs', 'future', 'via']",,No emotion toward brand or product
104,"['���', 'quotgoogle', 'tweetquot', 'new', 'quotthink', 'speakquot', 'mark', 'belinsky', 'panel']",Google,Positive emotion
105,"['attending', 'quotleft', 'brain', 'search', 'google', 'right', 'brain', 'search', 'xquot', 'talking', 'future', 'search', 'engines']",,No emotion toward brand or product
106,"['kawasaki', 'quotnot', 'cs', 'lewis', 'level', 'reasoning', 'apples', 'continued', 'existence', 'evidence', 'existence', 'godquot']",Apple,Positive emotion
107,"['kawasaki', 'quotpagemaker', 'saved', 'applequot', 'oh', 'days']",,No emotion toward brand or product
108,"['kawasaki', 'quotpagemaker', 'saved', 'applequot', 'oh', 'days', 'via']",Apple,Positive emotion
109,"['spark', 'award', 'read', 'link']",,Positive emotion
110,"['unboxing', 'apple', 'store', 'sxsw', 'link']",,No emotion toward brand or product
111,"['ipad', '2s', 'great', 'thoughts', 'w', 'japan', 'apac', 'regions', 'dealing', 'w', 'earthquake', 'amp', 'tsunami', 'trauma']",iPad,Positive emotion
112,"['schools', 'experts', 'sxsw', 'cnet', 'blogs', 'link']",,No emotion toward brand or product
113,"['schools', 'marketing', 'experts', 'link']",Apple,Positive emotion
114,"['schools', 'marketing', 'experts', 'link']",,No emotion toward brand or product
115,"['temporary', 'store', 'def', 'tent', 'powerhouse', 'gym', 'link']",Apple,Positive emotion
116,"['temporary', 'store', '6th', 'congress', 'along', '10000', 'happy', 'hipsters']",Apple,Positive emotion
117,"['���', 'wins', 'link', 'opening', 'temporary', 'store', 'downtown', 'austin', 'support', 'launch', 'good']",Apple,Positive emotion
118,"['headed', 'check', 'map', 'newbies', 'link', 'enjoy']",,No emotion toward brand or product
119,"['funny', 'trending', 'matter', 'minutes', 'point', 'least', 'according', 'twitter', 'iphone']",,No emotion toward brand or product
120,"['christian', 'devs', 'want', 'talk', 'u', 'maybe', 'wk', 'together', 'cool', 'app']",iPad or iPhone App,Positive emotion
121,"['apple', 'taken', 'storm', 'link', 'excited', 'part']",iPad,Positive emotion
122,"['haz', 'ifrom', 'gr8', 'link']",iPad,Positive emotion
123,"['stacks', 'waiting', 'bought', 'got', 'mine', 'hassle', 'apple', 'handled', 'perfectly', 'link']",iPad,Positive emotion
124,"['future', 'elusive', 'power', 'link', 'via']",,No emotion toward brand or product
125,"['heres', 'link', 'free', 'download', 'meet', 'nearby', 'peps']",,No emotion toward brand or product
126,"['need', 'reviews', 'play', 'google', 'placeswe', 'got', 'app', 'thatlink']",,Positive emotion
127,"['need', 'reviews', 'play', 'google', 'placeswe', 'got', 'app', 'thatlink']",,No emotion toward brand or product
128,"['follow', 'lead', 'link']",,No emotion toward brand or product
129,"['follow', 'lead', 'link', 'via', 'rg']",,No emotion toward brand or product
130,"['take', 'rt', 'major', 'south', 'korean', 'director', 'gets', '130000', 'make', 'movie', 'entirely', 'iphone', 'link']",iPhone,Positive emotion
131,"['beautiful', 'apple', 'store', 'sxsw', 'pic', 'link']",Apple,Positive emotion
132,"['q1', 'prep', 'amazing', 'pre', 'push', 'locally', 'focus', 'location', 'based', 'google', 'owns', '10', 'regions', 'billboards']",,No emotion toward brand or product
133,"['accounts', 'need', 'follow', 'apps', 'download', 'iphone']",,No emotion toward brand or product
134,"['headed', 'want', 'sharegather', 'contact', 'info', 'link', 'turn', 'iphone', 'business', 'card', 'broadcaster']",,No emotion toward brand or product
135,"['headed', 'want', 'sharegather', 'contact', 'info', 'link', 'turn', 'iphone', 'link']",,No emotion toward brand or product
136,"['btw', 'apple', 'store', 'sold', '3g', 'models', 'vzw', 'amp', 'atampt']",,No emotion toward brand or product
137,"['must', 'app', 'rt', 'lovely', 'review', 'forbes', 'sxsw', 'ipad', 'app', 'holler', 'gram', 'link']",iPad or iPhone App,Positive emotion
138,"['temporary', 'apple', 'store', 'apple', 'sneaky', 'usual', 'link']",Apple,Positive emotion
139,"['anyone', 'popup', 'apple', 'store', 'austin', 'thats', 'got', 'ta', 'hopping', 'place', 'today']",,No emotion toward brand or product
140,"['���', 'beta', 'testing', 'interactive', 'book', 'ipad', 'app', 'moonbot', 'studios', 'louisiana', 'cool', 'app�\u06dd']",iPad or iPhone App,Positive emotion
141,"['apple', 'day', 'one', 'seeing', 'ton']",iPad,Positive emotion
142,"['anyone', 'chance', 'check', 'popup', 'apple', 'store', 'wondering', 'worth', 'trek', 'convention', 'center']",,No emotion toward brand or product
143,"['���', 'ipad', 'store', 'sold', 'everything', 'except', '64gig', 'wifi', 'white�\u06dd', 'manage', 'get']",iPad,Positive emotion
144,"['���', 'ipad', 'store', 'sold', 'everything', 'except', '64gig', 'wifi', 'white�\u06dd', 'also', 'known', 'white', 'jeans', 'configuration']",iPad,Positive emotion
145,"['offered', 'ipad', 'promo', 'ninjafinder', 'users', 'fans', 'sucks']",iPad,Positive emotion
146,"['austin', 'conference', 'google', 'search', 'interactive', 'music', 'film']",,No emotion toward brand or product
147,"['anyone', 'know', 'apple', 'selling', 'ipad', '2']",,No emotion toward brand or product
148,"['anyone', 'know', 'apple', 'store', 'new', 'shipment', 'ipads', 'yet']",,No emotion toward brand or product
149,"['marc', 'ecko', 'launches', 'app', 'autodial', 'political', 'change', 'link']",,No emotion toward brand or product
150,"['lonelyplanet', 'austin', 'guide', 'free', 'limited', 'time', 'link']",,Positive emotion
151,"['free', 'mp3', 'downloads', 'time', 'itunes', 'link']",,No emotion toward brand or product
152,"['anyone', 'heading', 'aclu', 'event', 'seen', 'owt', 'google', 'circles']",,No emotion toward brand or product
153,"['prompt', 'memory', 'go', 'google', 'map', 'describe', 'childhood', 'walk']",,No emotion toward brand or product
154,"['apple', 'store', 'still', 'ipad', '2s', 'short', 'lines']",iPad,Positive emotion
155,"['essential', 'tools', 'link']",,No emotion toward brand or product
156,"['left', 'tradeshow', 'demo', 'google', 'theatre', 'ok', 'get', 'see', 'presenters', 'using']",Other Google product or service,Positive emotion
157,"['following', 'tweets', 'google', 'realtime', 'four', 'platforms', 'tweet', 'deck', 'listening', 'panel', 'realizing', 'im', 'spoken', 'one', 'today']",,No emotion toward brand or product
158,"['anyone', 'want', 'ipad', '2', 'im', 'line', 'pick', 'one', 'someone', 'willing', 'pay', '50', 'grab', '1']",,No emotion toward brand or product
159,"['anyone', 'want', 'make', 'quick', 'hundred', 'dollars', 'new', 'ad', 'hoc', 'apple', 'store', 'gets', 'hundred', 'plus', 'cost']",iPad,Positive emotion
160,"['solving', 'iphoneintoilet', 'crisis', 'apple', 'store', 'crisis']",,No emotion toward brand or product
161,"['monday', 'barry', 'diller', 'new', 'york', 'times', 'congress', 'lunch', 'w', 'hotel', 'party', 'google', 'party', 'six', 'dirty', 'martinis', 'mondays']",Google,Positive emotion
162,"['attending', 'austin', 'guide', 'free', 'download', 'itunes', 'link']",,No emotion toward brand or product
163,"['seriously', 'testing', 'mobile', 'apps', 'constant', 'ipad', 'crashes', 'causing', 'lost', 'schedules', 'sync', 'wp7']",iPad or iPhone App,Negative emotion
164,"['ready', 'iphone', 'apps', '2', 'make', 'ur', 'blogging', 'easier', 'link']",iPad or iPhone App,Positive emotion
165,"['ipad2', 'conflagration', 'doofusness', 'link']",iPad,Negative emotion
166,"['attention', 'link', 'rumored', 'popup', 'temporary', 'apple', 'store', 'ipad', '2', 'launch', 'needs']",Apple,Positive emotion
167,"['went', 'lousy', 'link']",iPad,Positive emotion
168,"['hey', 'folks', 'want', 'learn', 'security', 'come', 'link']",,No emotion toward brand or product
169,"['attending', 'work', 'iphone', 'ipad', 'game', 'development', 'looking', 'hire', 'austinbased', 'ios', 'developer', 'im', 'man', 'lets', 'talk']",,No emotion toward brand or product
170,"['picture', 'link']",Android,Positive emotion
171,"['gsdampm', 'google', '710', 'rt', 'whats', 'best', 'party', 'hit', 'tonight']",,No emotion toward brand or product
172,"['gsdampm', 'google', 'industry', 'party', 'great', 'meet', 'link']",,No emotion toward brand or product
173,"['spent', '1000', 'come', 'sxsw', 'youve', 'already', 'used', 'ipad', '1', 'wait', 'couple', 'city', 'blocks', 'link']",iPad,Negative emotion
174,"['behind', '100s', 'emails', 'give', '1', 'line', 'iphone', 'composed', 'replies']",iPhone,Positive emotion
175,"['like', '10pm', 'night', 'line', 'around', 'block', 'popup', 'apple', 'stores', 'selling', 'ipad2s']",iPad,Positive emotion
176,"['1154', 'free', 'songs', 'year', 'alone', 'link']",,No emotion toward brand or product
177,"['150', 'million', 'mobile', 'users', 'google', 'maps', 'mobile']",,No emotion toward brand or product
178,"['currently', '150', 'people', 'line', 'quotpop', 'apple', 'storequot']",,No emotion toward brand or product
179,"['ipad', '2', 'available', '64gb', 'wifionly', 'model', '699', 'plus', 'optional', 'leather', 'smart', 'cover', '69']",,No emotion toward brand or product
180,"['���', 'love', '2', 'entertain', 'you��please', 'don�۪t', 'grateful', '��', 'link', '��']",,No emotion toward brand or product
181,"['less', '2', 'hours', 'announce', 'details', 'ipad', '2', 'giveaway']",,No emotion toward brand or product
182,"['im', '2', 'ipad', '2s', 'seen', 'wild', 'people', 'say', 'fast', 'still', 'pics', 'terrible']",iPad,Negative emotion
183,"['ipad', '2', 'queue', 'course']",,No emotion toward brand or product
184,"['2', 'takes', 'video', 'link']",iPad,Positive emotion
185,"['many', 'ipad', '2s', 'snapping', 'away', 'keynote', 'slides']",iPad,Positive emotion
186,"['apple', '200m', 'users', 'credit', 'cards', 'syncd', 'itunes', 'one', 'click', 'purchase']",,No emotion toward brand or product
187,"['2nd', 'cocktail', 'quottexas', 'snowflakequot', 'google']",,No emotion toward brand or product
188,"['new', 'post', '3', 'iphone', 'apps', 'well', 'using', 'south', 'southwest', 'interactive', 'link']",iPad or iPhone App,Positive emotion
189,"['new', 'post', '3', 'iphone', 'apps', 'well', 'using', 'south', 'southwest', 'interactive', 'link']",,No emotion toward brand or product
190,"['sweet', 'new', '3d', 'google', 'maps', 'demo', 'going', 'ballroom']",Other Google product or service,Positive emotion
191,"['35', 'million', 'miles', 'per', 'day', 'driving', 'google', 'maps', 'navigation']",Other Google product or service,Positive emotion
192,"['rt', '4', 'pm', 'line', 'apple', 'store', 'longer', 'wider', '���', '250', 'people', 'one', 'hour']",,No emotion toward brand or product
193,"['u', 'smart', '4', 'packing', 'extra', 'rt', 'way', 'sunny', 'austin', 'extra', 'iphone', 'stow', 'case']",,No emotion toward brand or product
194,"['wonder', '4sqwill', 'attempt', 'block', 'gowalla', 'crosscheckins', 'way', 'facebook', 'blocked', 'googles', 'contacts', 'connections']",,No emotion toward brand or product
195,"['check', '5', 'steps', 'bulletproof', 'ux', 'strategy', 'sxsw', 'link', 'link']",,No emotion toward brand or product
196,"['wandering', '6th', 'street', 'girls', 'stopped', 'ceviche', 'mojitos', 'apple', 'juice', 'amp', 'ice', 'cream']",,No emotion toward brand or product
197,"['youre', 'band', 'want', 'share', 'track', 'audience', 'stage', 'use', 'frostwire', 'android', 'theres', 'wifi', 'available']",Android App,Positive emotion
198,"['weve', 'got', 'busy', 'week', 'ahead', 'new', 'book', 'apps', 'available', 'amazon', 'amp', 'attending']",,No emotion toward brand or product
199,"['believe', 'went', 'aussies', 'rt', 'ipad', '2', 'sold', '70', 'went', 'new', 'buyers', 'report', 'link']",,No emotion toward brand or product
200,"['���', 'google', 'spreadsheet', '270', 'parties', 'year', 'oo', 'link', 'plan', 'going', 'party']",,No emotion toward brand or product
201,"['guy', 'line', 'apples', 'popup', 'store', 'sixth', 'street', 'austin', 'quotim', 'guyquot', 'told']",,No emotion toward brand or product
202,"['u', 'iphone', 'dont', 'need', 'caruse', 'zimride', 'etc', 'share', 'rides']",iPad or iPhone App,Positive emotion
203,"['ive', 'seen', 'lot', 'tablets', 'every', 'single', 'one', 'ipad']",,No emotion toward brand or product
204,"['receiving', 'lot', 'messages', 'telling', 'im', 'sexy', 'response', 'post', 'looking', 'meet', 'fellow', 'christian', 'iphone', 'devs']",,No emotion toward brand or product
205,"['picked', 'mophie', 'battery', 'case', '4', 'iphone', 'prep', 'lugging', 'around', 'laptop', 'amp', 'using', 'phone', 'huge', 'win', 'last', 'year']",iPhone,Positive emotion
206,"['thats', 'news', 'p', 'rt', 'google', 'launch', 'major', 'new', 'social', 'network', 'called', 'circles', 'possibly', 'today', 'link']",,No emotion toward brand or product
207,"['took', 'piss', 'trade', 'show', 'ipad', 'one', 'hand', 'iphone', 'pissing', 'kiiiiiilling', 'right']",,No emotion toward brand or product
208,"['rumor', 'monger', 'good', 'read', '�', 'preview', 'link', 'via']",Other Google product or service,Positive emotion
209,"['hobo', 'shotgun', 'iphone', 'game', 'link']",,No emotion toward brand or product
210,"['hobo', 'shotgun', 'video', 'game', 'coming', 'ipadiphone', 'users', 'yes', 'please', 'link']",iPad or iPhone App,Positive emotion
211,"['build', 'store', 'less', '24', 'hours', 'one', 'biggest', 'launches', 'companys', 'history', 'got']",Apple,Positive emotion
212,"['took', 'survey', 'iphone', 'starbucks', 'line', 'got', 'free', 'starbucks', 'gift', 'card', 'instant', 'research', 'instant', 'gratification']",,No emotion toward brand or product
213,"['apple', 'temporary', 'retail', 'store', 'austin', 'ipad', '2', 'release', 'today', 'opens', '5pm']",,No emotion toward brand or product
214,"['read', 'like', 'incredible', 'app', 'available', 'android', 'phones', 'yet']",iPad or iPhone App,Positive emotion
215,"['wondering', 'circles', 'gt', 'google', 'reveal', 'new', 'social', 'network', 'link']",,No emotion toward brand or product
216,"['google', 'search', 'local', 'marissa', 'mayer']",,No emotion toward brand or product
217,"['wondering', 'street', 'closures', 'sxsw', 'made', 'google', 'map', 'show', 'link']",,No emotion toward brand or product
218,"['google', 'another', 'go', 'social', 'quotgoogle', 'circlesquot']",,No emotion toward brand or product
219,"['questions', 'whats', 'inside', 'ipad', '2', 'fire', 'way']",,No emotion toward brand or product
220,"['paraormal', 'activity', 'sanctuary', 'iphone', 'game', 'sketching', 'ar', 'experience', 'interactivity', 'quotmagic', 'lensequot']",,No emotion toward brand or product
221,"['apple', 'iie', 'ad', '85', 'si', 'swimsuit', 'issue', 'garage', 'sale', 'link']",,No emotion toward brand or product
222,"['flipboard', 'adds', 'instagram', 'photos', 'social', 'search', 'apps', 'link']",,No emotion toward brand or product
223,"['spent', 'aftrnoon', 'frozen', 'lake', 'photographing', 'brother', 'scott', 'amp', 'team', 'catch', 'ths', 'weeknd', 'link']",,No emotion toward brand or product
224,"['iphone', 'alarms', 'botch', 'timechange', 'many', 'freak', 'late', 'flights', 'missed', 'panels', 'behind', 'bloody', 'marys']",iPhone,Negative emotion
225,"['shouts', 'ladies', 'holding', 'ipad', '2s', 'free', 'shows', 'take', 'photos', 'sipping', 'free', 'beer', 'cc']",iPad,Positive emotion
226,"['dj', 'hoodie', 'allen', 'due', 'respect', 'probably', 'make', 'way', 'back', 'google']",,No emotion toward brand or product
227,"['meant', 'also', 'wish', 'stupid', 'iphone']",iPhone,Negative emotion
229,"['audioboo', 'american', 'dream', 'bust', 'link']",,No emotion toward brand or product
230,"['skifta', 'appbased', 'media', 'shifting', 'service', 'turns', 'android', 'phone', 'link']",,No emotion toward brand or product
231,"['rumors', 'apple', 'store', 'opening', '6th', 'amp', 'congress', 'signs', 'point', 'yes', 'link']",Apple,Positive emotion
232,"['apple', 'security', 'guy', 'locks', 'store', 'link']",,No emotion toward brand or product
