,text,directed_at,emotion
44,"['ipad', 'rt', 'new', 'app', 'store', 'includ', 'uberguid', 'sponsor', 'link']",,No emotion toward brand or product
45,"['handheld', '���hobo�۪', 'drafthous', 'launch', '���hobo', 'shotgun�۪', 'iphon', 'app', 'link']",,Positive emotion
46,"['hooray', 'rt', '���', 'appl', 'open', 'popup', 'store', 'austin', 'link']",Apple,Positive emotion
47,"['or', '���', 'googl', 'set', 'launch', 'new', 'social', 'network', 'today']",,No emotion toward brand or product
48,"['wooooo', '���', 'appl', 'store', 'downtown', 'austin', 'open', 'til', 'midnight']",Apple,Positive emotion
49,"['khoi', 'vinh', 'say', 'cond', 'nast', 'headlong', 'rush', 'ipad', 'publish', 'quotfundament', 'misunderstandingquot', 'platform']",,No emotion toward brand or product
50,"['���', 'link', 'lt', 'help', 'forward', 'doc', 'anonym', 'account', 'techiesamp', 'ppl', 'help', 'u', 'jam']",,No emotion toward brand or product
51,"['���', '��', 'link', '��']",,No emotion toward brand or product
52,"['locationbas', 'fast', 'fun', 'futur', 'link', 'via']",,No emotion toward brand or product
53,"['���', 'connect', 'digit', 'amp', 'physic', 'world', 'mobil', 'link']",,No emotion toward brand or product
54,"['���', 'talk', 'link', 'googl', 'effort', 'allow', 'user', 'open', 'system']",Google,Positive emotion
55,"['link', 'rt', 'quotgoogl', 'tweetquot', 'new', 'quotthink', 'speakquot', 'mark', 'belinski', 'panel']",,No emotion toward brand or product
56,"['link', 'rt', '1st', 'stop', 'amp', 'hunt', 'austin', 'java', 'get', 'spi', 'game', '4', 'chanc', '2', 'win', 'ipad']",iPad,Positive emotion
57,"['link', 'rt', 'check', 'holler', 'gram', 'ipad', 'app', 'link']",,No emotion toward brand or product
58,"['amp', 'fun', 'pic', 'link']",,No emotion toward brand or product
59,"['quotvia', 'link', 'guy', 'kawasaki', 'talk', 'enchant', 'sxsw', 'know', 'stuff', 'quot']",,No emotion toward brand or product
60,"['link', 'spec', 'recip', 'web', 'googl', 'search', 'link']",,No emotion toward brand or product
61,"['rt', 'think', 'appl', 'quotpopup', 'storequot', 'austin', 'would', 'lot', 'interest', 'actual', 'know', 'pop']",Apple,No emotion toward brand or product
62,"['rt', 'line', 'appl', 'store', 'insan']",,Negative emotion
63,"['agre', 'rt', 'wait', 'fiona', 'appl', 'town', 'somebodi', 'kidnap', 'put', 'record', 'studio', 'record', 'new', 'album']",,No emotion toward brand or product
64,"['wan', 'na', 'buy', 'drink', '7pm', 'fado', '4th', 'link', 'join', 'u']",,No emotion toward brand or product
65,"['attend', 'ipad', 'design', 'headach', 'link']",iPad,Negative emotion
66,"['boooo', 'rt', 'flipboard', 'develop', 'iphon', 'version', 'android', 'say']",,Negative emotion
67,"['check', 'amp', 'line', 'ipad', '2', 'austin', 'power', 'link']",iPad,Positive emotion
68,"['check', 'rt', 'give', 'ad', 'valu', 'locat', 'base', 'servic', 'need', 'battl', 'checkin', 'fatigu']",,No emotion toward brand or product
69,"['chilcott', 'stand', 'talk', 'blogger', 'staff', 'late', 'win', 'competit', 'best', 'tweet', 'mention', 'tshirt']",,No emotion toward brand or product
70,"['rt', 'come', 'parti', 'w', 'googl', 'tonight', 'link', 'band', 'food', 'art', 'ice', 'cream', 'nifti', 'interact', 'map']",Google,Positive emotion
71,"['gowalla', 'promis', 'launch', 'foursquar', 'checkin', 'groupon', 'rewardstyp', 'servic', 'finger', 'cross', 'link']",,No emotion toward brand or product
72,"['haha', 'rt', 'news', 'yahoocom', 'loos', 'search', 'traffic', 'new', 'site', 'googlecom', 'doubt', 'last', 'tho', 'w', 'weird', 'name']",,No emotion toward brand or product
73,"['holla', 'rt', 'googl', 'parti', 'best', 'ever', 'get', 'butt']",Google,Positive emotion
74,"['love', 'iphon', 'case', 'cant', 'get', 'phone']",iPhone,Positive emotion
75,"['worship', 'link']",,No emotion toward brand or product
76,"['ipad2', 'rt', 'droid', 'amp', 'mac', 'rt', 'confess', 'use', 'laptop', 'ipad', 'amp', 'blackberri', 'follow']",,No emotion toward brand or product
77,"['launch', 'rt', 'deni', 'social', 'network', 'call', 'circl', 'debut', 'today', 'despit', 'report', 'link']",,No emotion toward brand or product
78,"['new', 'post', 'iphon', 'app', 'make', 'easi', 'connect', 'social', 'network', 'peopl', 'meet', 'link']",iPad or iPhone App,Positive emotion
79,"['nice', 'iphon', 'app', 'behav', 'today', 'crash', 'yesterday', 'ridicul']",iPad or iPhone App,Positive emotion
80,"['nice', 'rt', 'appl', 'open', 'popup', 'store', 'ipad', 'launch', 'downtown', 'austin', 'link', 'via']",,No emotion toward brand or product
81,"['nice', 'rt', 'hey', 'appl', 'fan', 'get', 'peek', 'space', 'that', 'slate', 'popup', 'appl', 'store', 'tomorrow', 'link']",Apple,Positive emotion
82,"['one', 'thing', 'great', 'get', 'great', 'earth', 'face', 'googl', 'compani', 'love']",Google,Positive emotion
83,"['stay', 'tune', 'showcas', 'link']",,No emotion toward brand or product
84,"['thank', 'preso', 'here', 'deck', 'link']",,No emotion toward brand or product
85,"['thank', 'awesom', 'parti', 'link']",,No emotion toward brand or product
86,"['thank', 'rt', 'your', 'tri', 'contact', 'friend', 'famili', 'creat', 'person', 'finder', 'link']",,No emotion toward brand or product
87,"['thank', 'mention', 'new', 'ipad', 'app', 'showcas', 'conf', 'link']",iPad or iPhone App,Positive emotion
88,"['thank', 'publish', 'news', 'new', 'medic', 'app', 'conf', 'blog', 'link']",,I can't tell
89,"['thank', 'publish', 'news', 'new', 'medic', 'app', 'conf', 'blog', 'link']",,No emotion toward brand or product
90,"['provid', 'iphon', 'charger', 'ive', 'chang', 'mind', 'go', 'next', 'year']",iPhone,Negative emotion
91,"['wonder', 'amp', 'appl', 'flashmob', 'tcrnchfcs45j']",,No emotion toward brand or product
92,"['wonder', 'put', 'tip', 'api']",,No emotion toward brand or product
93,"['xmas', 'rt', 'shini', 'new', 'app', 'new', 'book', 'popup', 'ipad', '2', 'store', 'christma', 'nerd']",iPad,Positive emotion
94,"['yai', 'rt', 'new', 'app', 'store', 'includ', 'uberguid', 'sponsor', 'cont', 'link']",iPhone,Positive emotion
95,"['yes', 'rt', 'hey', 'ive', 'got', 'anoth', 'gem', 'gt', 'free', 'sxsw', 'link']",,No emotion toward brand or product
96,"['fast', 'fun', 'amp', 'futur', 'googl', 'present', 'search', 'local', 'mobil']",Google,Positive emotion
97,"['gsdampm', 'amp', 'googl', 'industri', 'parti', 'tonight', 'see', 'u', 'link']",,No emotion toward brand or product
98,"['new', 'buzz', 'quot', 'googl', 'launch', 'major', 'new', 'social', 'network', 'call', 'circl', 'possibl', 'today', 'link', 'rt']",,No emotion toward brand or product
99,"['headlin', 'quot', '2', 'musthav', 'gadget', 'hmm', 'could', 'seen', 'one', 'come', 'link']",iPad,Positive emotion
100,"['���', 'quotappl', 'open', 'popup', 'store', 'austin', 'nerd', 'town', 'get', 'new', 'ipad', 'link']",,I can't tell
101,"['know', 'quotdatavizquot', 'translat', 'quotsatanicquot', 'iphon', 'im', 'sayin']",,Negative emotion
102,"['quotgoogl', 'launch', 'checkin', 'month', 'agoquot', 'check', 'in', 'ok', 'check', 'out', 'futur']",Google,Positive emotion
103,"['quotgoogl', 'launch', 'checkin', 'month', 'agoquot', 'check', 'in', 'ok', 'check', 'out', 'futur', 'via']",,No emotion toward brand or product
104,"['���', 'quotgoogl', 'tweetquot', 'new', 'quotthink', 'speakquot', 'mark', 'belinski', 'panel']",Google,Positive emotion
105,"['attend', 'quotleft', 'brain', 'search', 'googl', 'right', 'brain', 'search', 'xquot', 'talk', 'futur', 'search', 'engin']",,No emotion toward brand or product
106,"['kawasaki', 'quotnot', 'c', 'lewi', 'level', 'reason', 'appl', 'continu', 'exist', 'evid', 'exist', 'godquot']",Apple,Positive emotion
107,"['kawasaki', 'quotpagemak', 'save', 'applequot', 'oh', 'day']",,No emotion toward brand or product
108,"['kawasaki', 'quotpagemak', 'save', 'applequot', 'oh', 'day', 'via']",Apple,Positive emotion
109,"['spark', 'award', 'read', 'link']",,Positive emotion
110,"['unbox', 'appl', 'store', 'sxsw', 'link']",,No emotion toward brand or product
111,"['ipad', '2', 'great', 'thought', 'w', 'japan', 'apac', 'region', 'deal', 'w', 'earthquak', 'amp', 'tsunami', 'trauma']",iPad,Positive emotion
112,"['school', 'expert', 'sxsw', 'cnet', 'blog', 'link']",,No emotion toward brand or product
113,"['school', 'market', 'expert', 'link']",Apple,Positive emotion
114,"['school', 'market', 'expert', 'link']",,No emotion toward brand or product
115,"['temporari', 'store', 'def', 'tent', 'powerhous', 'gym', 'link']",Apple,Positive emotion
116,"['temporari', 'store', '6th', 'congress', 'along', '10000', 'happi', 'hipster']",Apple,Positive emotion
117,"['���', 'win', 'link', 'open', 'temporari', 'store', 'downtown', 'austin', 'support', 'launch', 'good']",Apple,Positive emotion
118,"['head', 'check', 'map', 'newbi', 'link', 'enjoy']",,No emotion toward brand or product
119,"['funni', 'trend', 'matter', 'minut', 'point', 'least', 'accord', 'twitter', 'iphon']",,No emotion toward brand or product
120,"['christian', 'dev', 'want', 'talk', 'u', 'mayb', 'wk', 'togeth', 'cool', 'app']",iPad or iPhone App,Positive emotion
121,"['appl', 'taken', 'storm', 'link', 'excit', 'part']",iPad,Positive emotion
122,"['haz', 'ifrom', 'gr8', 'link']",iPad,Positive emotion
123,"['stack', 'wait', 'bought', 'got', 'mine', 'hassl', 'appl', 'handl', 'perfect', 'link']",iPad,Positive emotion
124,"['futur', 'elus', 'power', 'link', 'via']",,No emotion toward brand or product
125,"['here', 'link', 'free', 'download', 'meet', 'nearbi', 'pep']",,No emotion toward brand or product
126,"['need', 'review', 'play', 'googl', 'placesw', 'got', 'app', 'thatlink']",,Positive emotion
127,"['need', 'review', 'play', 'googl', 'placesw', 'got', 'app', 'thatlink']",,No emotion toward brand or product
128,"['follow', 'lead', 'link']",,No emotion toward brand or product
129,"['follow', 'lead', 'link', 'via', 'rg']",,No emotion toward brand or product
130,"['take', 'rt', 'major', 'south', 'korean', 'director', 'get', '130000', 'make', 'movi', 'entir', 'iphon', 'link']",iPhone,Positive emotion
131,"['beauti', 'appl', 'store', 'sxsw', 'pic', 'link']",Apple,Positive emotion
132,"['q1', 'prep', 'amaz', 'pre', 'push', 'local', 'focus', 'locat', 'base', 'googl', 'own', '10', 'region', 'billboard']",,No emotion toward brand or product
133,"['account', 'need', 'follow', 'app', 'download', 'iphon']",,No emotion toward brand or product
134,"['head', 'want', 'sharegath', 'contact', 'info', 'link', 'turn', 'iphon', 'busi', 'card', 'broadcast']",,No emotion toward brand or product
135,"['head', 'want', 'sharegath', 'contact', 'info', 'link', 'turn', 'iphon', 'link']",,No emotion toward brand or product
136,"['btw', 'appl', 'store', 'sold', '3g', 'model', 'vzw', 'amp', 'atampt']",,No emotion toward brand or product
137,"['must', 'app', 'rt', 'love', 'review', 'forb', 'sxsw', 'ipad', 'app', 'holler', 'gram', 'link']",iPad or iPhone App,Positive emotion
138,"['temporari', 'appl', 'store', 'appl', 'sneaki', 'usual', 'link']",Apple,Positive emotion
139,"['anyon', 'popup', 'appl', 'store', 'austin', 'that', 'got', 'ta', 'hop', 'place', 'today']",,No emotion toward brand or product
140,"['���', 'beta', 'test', 'interact', 'book', 'ipad', 'app', 'moonbot', 'studio', 'louisiana', 'cool', 'app�\u06dd']",iPad or iPhone App,Positive emotion
141,"['appl', 'day', 'one', 'see', 'ton']",iPad,Positive emotion
142,"['anyon', 'chanc', 'check', 'popup', 'appl', 'store', 'wonder', 'worth', 'trek', 'convent', 'center']",,No emotion toward brand or product
143,"['���', 'ipad', 'store', 'sold', 'everyth', 'except', '64gig', 'wifi', 'white�\u06dd', 'manag', 'get']",iPad,Positive emotion
144,"['���', 'ipad', 'store', 'sold', 'everyth', 'except', '64gig', 'wifi', 'white�\u06dd', 'also', 'known', 'white', 'jean', 'configur']",iPad,Positive emotion
145,"['offer', 'ipad', 'promo', 'ninjafind', 'user', 'fan', 'suck']",iPad,Positive emotion
146,"['austin', 'confer', 'googl', 'search', 'interact', 'music', 'film']",,No emotion toward brand or product
147,"['anyon', 'know', 'appl', 'sell', 'ipad', '2']",,No emotion toward brand or product
148,"['anyon', 'know', 'appl', 'store', 'new', 'shipment', 'ipad', 'yet']",,No emotion toward brand or product
149,"['marc', 'ecko', 'launch', 'app', 'autodi', 'polit', 'chang', 'link']",,No emotion toward brand or product
150,"['lonelyplanet', 'austin', 'guid', 'free', 'limit', 'time', 'link']",,Positive emotion
151,"['free', 'mp3', 'download', 'time', 'itun', 'link']",,No emotion toward brand or product
152,"['anyon', 'head', 'aclu', 'event', 'seen', 'owt', 'googl', 'circl']",,No emotion toward brand or product
153,"['prompt', 'memori', 'go', 'googl', 'map', 'describ', 'childhood', 'walk']",,No emotion toward brand or product
154,"['appl', 'store', 'still', 'ipad', '2', 'short', 'line']",iPad,Positive emotion
155,"['essenti', 'tool', 'link']",,No emotion toward brand or product
156,"['left', 'tradeshow', 'demo', 'googl', 'theatr', 'ok', 'get', 'see', 'present', 'use']",Other Google product or service,Positive emotion
157,"['follow', 'tweet', 'googl', 'realtim', 'four', 'platform', 'tweet', 'deck', 'listen', 'panel', 'realiz', 'im', 'spoken', 'one', 'today']",,No emotion toward brand or product
158,"['anyon', 'want', 'ipad', '2', 'im', 'line', 'pick', 'one', 'someon', 'will', 'pay', '50', 'grab', '1']",,No emotion toward brand or product
159,"['anyon', 'want', 'make', 'quick', 'hundr', 'dollar', 'new', 'ad', 'hoc', 'appl', 'store', 'get', 'hundr', 'plus', 'cost']",iPad,Positive emotion
160,"['solv', 'iphoneintoilet', 'crisi', 'appl', 'store', 'crisi']",,No emotion toward brand or product
161,"['monday', 'barri', 'diller', 'new', 'york', 'time', 'congress', 'lunch', 'w', 'hotel', 'parti', 'googl', 'parti', 'six', 'dirti', 'martini', 'monday']",Google,Positive emotion
162,"['attend', 'austin', 'guid', 'free', 'download', 'itun', 'link']",,No emotion toward brand or product
163,"['serious', 'test', 'mobil', 'app', 'constant', 'ipad', 'crash', 'caus', 'lost', 'schedul', 'sync', 'wp7']",iPad or iPhone App,Negative emotion
164,"['readi', 'iphon', 'app', '2', 'make', 'ur', 'blog', 'easier', 'link']",iPad or iPhone App,Positive emotion
165,"['ipad2', 'conflagr', 'doofus', 'link']",iPad,Negative emotion
166,"['attent', 'link', 'rumor', 'popup', 'temporari', 'appl', 'store', 'ipad', '2', 'launch', 'need']",Apple,Positive emotion
167,"['went', 'lousi', 'link']",iPad,Positive emotion
168,"['hey', 'folk', 'want', 'learn', 'secur', 'come', 'link']",,No emotion toward brand or product
169,"['attend', 'work', 'iphon', 'ipad', 'game', 'develop', 'look', 'hire', 'austinbas', 'io', 'develop', 'im', 'man', 'let', 'talk']",,No emotion toward brand or product
170,"['pictur', 'link']",Android,Positive emotion
171,"['gsdampm', 'googl', '710', 'rt', 'what', 'best', 'parti', 'hit', 'tonight']",,No emotion toward brand or product
172,"['gsdampm', 'googl', 'industri', 'parti', 'great', 'meet', 'link']",,No emotion toward brand or product
173,"['spent', '1000', 'come', 'sxsw', 'youv', 'alreadi', 'use', 'ipad', '1', 'wait', 'coupl', 'citi', 'block', 'link']",iPad,Negative emotion
174,"['behind', '100', 'email', 'give', '1', 'line', 'iphon', 'compos', 'repli']",iPhone,Positive emotion
175,"['like', '10pm', 'night', 'line', 'around', 'block', 'popup', 'appl', 'store', 'sell', 'ipad2']",iPad,Positive emotion
176,"['1154', 'free', 'song', 'year', 'alon', 'link']",,No emotion toward brand or product
177,"['150', 'million', 'mobil', 'user', 'googl', 'map', 'mobil']",,No emotion toward brand or product
178,"['current', '150', 'peopl', 'line', 'quotpop', 'appl', 'storequot']",,No emotion toward brand or product
179,"['ipad', '2', 'avail', '64gb', 'wifion', 'model', '699', 'plus', 'option', 'leather', 'smart', 'cover', '69']",,No emotion toward brand or product
180,"['���', 'love', '2', 'entertain', 'you��pleas', 'don�۪t', 'grate', '��', 'link', '��']",,No emotion toward brand or product
181,"['le', '2', 'hour', 'announc', 'detail', 'ipad', '2', 'giveaway']",,No emotion toward brand or product
182,"['im', '2', 'ipad', '2', 'seen', 'wild', 'peopl', 'say', 'fast', 'still', 'pic', 'terribl']",iPad,Negative emotion
183,"['ipad', '2', 'queue', 'cours']",,No emotion toward brand or product
184,"['2', 'take', 'video', 'link']",iPad,Positive emotion
185,"['mani', 'ipad', '2', 'snap', 'away', 'keynot', 'slide']",iPad,Positive emotion
186,"['appl', '200m', 'user', 'credit', 'card', 'syncd', 'itun', 'one', 'click', 'purchas']",,No emotion toward brand or product
187,"['2nd', 'cocktail', 'quottexa', 'snowflakequot', 'googl']",,No emotion toward brand or product
188,"['new', 'post', '3', 'iphon', 'app', 'well', 'use', 'south', 'southwest', 'interact', 'link']",iPad or iPhone App,Positive emotion
189,"['new', 'post', '3', 'iphon', 'app', 'well', 'use', 'south', 'southwest', 'interact', 'link']",,No emotion toward brand or product
190,"['sweet', 'new', '3d', 'googl', 'map', 'demo', 'go', 'ballroom']",Other Google product or service,Positive emotion
191,"['35', 'million', 'mile', 'per', 'day', 'drive', 'googl', 'map', 'navig']",Other Google product or service,Positive emotion
192,"['rt', '4', 'pm', 'line', 'appl', 'store', 'longer', 'wider', '���', '250', 'peopl', 'one', 'hour']",,No emotion toward brand or product
193,"['u', 'smart', '4', 'pack', 'extra', 'rt', 'way', 'sunni', 'austin', 'extra', 'iphon', 'stow', 'case']",,No emotion toward brand or product
194,"['wonder', '4sqwill', 'attempt', 'block', 'gowalla', 'crosscheckin', 'way', 'facebook', 'block', 'googl', 'contact', 'connect']",,No emotion toward brand or product
195,"['check', '5', 'step', 'bulletproof', 'ux', 'strategi', 'sxsw', 'link', 'link']",,No emotion toward brand or product
196,"['wander', '6th', 'street', 'girl', 'stop', 'cevich', 'mojito', 'appl', 'juic', 'amp', 'ice', 'cream']",,No emotion toward brand or product
197,"['your', 'band', 'want', 'share', 'track', 'audienc', 'stage', 'use', 'frostwir', 'android', 'there', 'wifi', 'avail']",Android App,Positive emotion
198,"['weve', 'got', 'busi', 'week', 'ahead', 'new', 'book', 'app', 'avail', 'amazon', 'amp', 'attend']",,No emotion toward brand or product
199,"['believ', 'went', 'aussi', 'rt', 'ipad', '2', 'sold', '70', 'went', 'new', 'buyer', 'report', 'link']",,No emotion toward brand or product
200,"['���', 'googl', 'spreadsheet', '270', 'parti', 'year', 'oo', 'link', 'plan', 'go', 'parti']",,No emotion toward brand or product
201,"['guy', 'line', 'appl', 'popup', 'store', 'sixth', 'street', 'austin', 'quotim', 'guyquot', 'told']",,No emotion toward brand or product
202,"['u', 'iphon', 'dont', 'need', 'carus', 'zimrid', 'etc', 'share', 'ride']",iPad or iPhone App,Positive emotion
203,"['ive', 'seen', 'lot', 'tablet', 'everi', 'singl', 'one', 'ipad']",,No emotion toward brand or product
204,"['receiv', 'lot', 'messag', 'tell', 'im', 'sexi', 'respons', 'post', 'look', 'meet', 'fellow', 'christian', 'iphon', 'dev']",,No emotion toward brand or product
205,"['pick', 'mophi', 'batteri', 'case', '4', 'iphon', 'prep', 'lug', 'around', 'laptop', 'amp', 'use', 'phone', 'huge', 'win', 'last', 'year']",iPhone,Positive emotion
206,"['that', 'news', 'p', 'rt', 'googl', 'launch', 'major', 'new', 'social', 'network', 'call', 'circl', 'possibl', 'today', 'link']",,No emotion toward brand or product
207,"['took', 'piss', 'trade', 'show', 'ipad', 'one', 'hand', 'iphon', 'piss', 'kiiiiiill', 'right']",,No emotion toward brand or product
208,"['rumor', 'monger', 'good', 'read', '�', 'preview', 'link', 'via']",Other Google product or service,Positive emotion
209,"['hobo', 'shotgun', 'iphon', 'game', 'link']",,No emotion toward brand or product
210,"['hobo', 'shotgun', 'video', 'game', 'come', 'ipadiphon', 'user', 'yes', 'pleas', 'link']",iPad or iPhone App,Positive emotion
211,"['build', 'store', 'le', '24', 'hour', 'one', 'biggest', 'launch', 'compani', 'histori', 'got']",Apple,Positive emotion
212,"['took', 'survey', 'iphon', 'starbuck', 'line', 'got', 'free', 'starbuck', 'gift', 'card', 'instant', 'research', 'instant', 'gratif']",,No emotion toward brand or product
213,"['appl', 'temporari', 'retail', 'store', 'austin', 'ipad', '2', 'releas', 'today', 'open', '5pm']",,No emotion toward brand or product
214,"['read', 'like', 'incred', 'app', 'avail', 'android', 'phone', 'yet']",iPad or iPhone App,Positive emotion
215,"['wonder', 'circl', 'gt', 'googl', 'reveal', 'new', 'social', 'network', 'link']",,No emotion toward brand or product
216,"['googl', 'search', 'local', 'marissa', 'mayer']",,No emotion toward brand or product
217,"['wonder', 'street', 'closur', 'sxsw', 'made', 'googl', 'map', 'show', 'link']",,No emotion toward brand or product
218,"['googl', 'anoth', 'go', 'social', 'quotgoogl', 'circlesquot']",,No emotion toward brand or product
219,"['question', 'what', 'insid', 'ipad', '2', 'fire', 'way']",,No emotion toward brand or product
220,"['paraorm', 'activ', 'sanctuari', 'iphon', 'game', 'sketch', 'ar', 'experi', 'interact', 'quotmag', 'lensequot']",,No emotion toward brand or product
221,"['appl', 'iie', 'ad', '85', 'si', 'swimsuit', 'issu', 'garag', 'sale', 'link']",,No emotion toward brand or product
222,"['flipboard', 'add', 'instagram', 'photo', 'social', 'search', 'app', 'link']",,No emotion toward brand or product
223,"['spent', 'aftrnoon', 'frozen', 'lake', 'photograph', 'brother', 'scott', 'amp', 'team', 'catch', 'th', 'weeknd', 'link']",,No emotion toward brand or product
224,"['iphon', 'alarm', 'botch', 'timechang', 'mani', 'freak', 'late', 'flight', 'miss', 'panel', 'behind', 'bloodi', 'mari']",iPhone,Negative emotion
225,"['shout', 'ladi', 'hold', 'ipad', '2', 'free', 'show', 'take', 'photo', 'sip', 'free', 'beer', 'cc']",iPad,Positive emotion
226,"['dj', 'hoodi', 'allen', 'due', 'respect', 'probabl', 'make', 'way', 'back', 'googl']",,No emotion toward brand or product
227,"['meant', 'also', 'wish', 'stupid', 'iphon']",iPhone,Negative emotion
228,"['america', 'need', 'rt', 'googl', 'launch', 'major', 'new', 'social', 'network', 'call', 'circl', 'possibl', 'today', 'link']",,I can't tell
229,"['audioboo', 'american', 'dream', 'bust', 'link']",,No emotion toward brand or product
230,"['skifta', 'appbas', 'medium', 'shift', 'servic', 'turn', 'android', 'phone', 'link']",,No emotion toward brand or product
231,"['rumor', 'appl', 'store', 'open', '6th', 'amp', 'congress', 'sign', 'point', 'yes', 'link']",Apple,Positive emotion
